"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Max Kepler","Twins","149","644","556","139","31","1","30","95","82","70","111","8","7","3",".250",".340",".475",".815",".343","4.3","1.6","3.2","999.0","12144"
"Kris Bryant","Cubs","147","637","538","137","30","2","26","89","81","77","155","15","3","2",".254",".360",".464",".824",".350","-2.9","2.5","3.2","999.0","15429"
"Jeff McNeil","Mets","149","644","573","164","36","2","19","85","73","48","86","14","8","3",".286",".353",".455",".808",".342","-1.9","0.4","3.2","999.0","15362"
"Alex Verdugo","Red Sox","144","623","557","163","38","2","17","82","73","53","103","5","8","3",".292",".356",".457",".813",".344","-0.5","0.6","3.0","999.0","17027"
"Marcell Ozuna","","151","651","571","158","26","1","36","90","105","70","139","4","5","2",".277",".357",".514",".871",".362","0.0","0.0","3.0","999.0","10324"
"Ramon Laureano","Athletics","151","651","575","143","30","2","24","80","80","54","173","14","12","4",".249",".325",".432",".758",".322","0.5","2.1","3.0","999.0","17128"
"Kyle Tucker","Astros","149","644","574","147","28","6","32","88","95","56","140","6","20","8",".256",".326",".492",".818",".339","1.3","1.3","3.0","999.0","18345"
"Aaron Hicks","Yankees","141","609","506","119","22","2","24","81","76","92","137","4","8","3",".234",".354",".432",".785",".337","-3.6","2.0","2.9","999.0","5297"
"Brandon Nimmo","Mets","144","623","502","121","25","4","18","84","62","97","152","15","9","4",".241",".377",".417",".794",".345","-8.7","1.3","2.8","999.0","12927"
"Giancarlo Stanton","Yankees","138","595","512","129","22","1","42","90","104","70","188","7","4","2",".252",".347",".542",".890",".367","0.0","-0.7","2.8","999.0","4949"
"Ian Happ","Cubs","149","644","548","132","25","2","30","87","81","81","188","6","9","4",".241",".342",".457",".800",".338","1.3","0.6","2.6","999.0","17919"
"Tommy Pham","Padres","134","581","496","133","23","2","22","81","72","72","127","6","15","6",".267",".364",".456",".820",".349","0.2","0.7","2.6","999.0","2967"
"Mark Canha","Athletics","143","616","524","130","27","3","23","78","78","70","144","15","5","2",".247",".349",".442",".792",".337","0.1","-0.2","2.5","999.0","11445"
"Rhys Hoskins","Phillies","139","602","490","114","24","1","32","85","85","96","146","10","3","2",".233",".366",".480",".845",".357","1.2","0.1","2.5","999.0","16472"
"Joc Pederson","","122","525","452","112","22","2","29","76","73","56","117","9","4","2",".249",".341",".503",".844",".352","0.9","0.3","2.4","999.0","11899"
"Brian Anderson","Marlins","156","672","586","145","30","2","22","76","79","64","157","15","3","2",".248",".334",".420",".754",".323","-1.5","0.2","2.4","999.0","18289"
"Randy Arozarena","Rays","149","644","570","147","28","2","26","83","81","50","154","15","21","9",".258",".332",".450",".782",".331","0.2","0.4","2.3","999.0","19290"
"J.D. Martinez","Red Sox","152","658","576","160","32","1","35","95","107","71","156","5","3","1",".277",".359",".522",".880",".363","0.0","-3.2","2.3","999.0","6184"
